epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0024,1.88916,3.61708,1.73005,0.01569,0.57759,0.01916,0.01114,1.01945,3.32293,1.1811,6.668e-05,6.668e-05,6.668e-05
2,61.3996,1.44902,3.30158,1.30719,0.0362,0.89655,0.2206,0.12643,0.85226,3.20719,1.00817,0.000147059,0.000147059,0.000147059
3,79.0934,1.21841,2.80464,1.14712,0.04091,0.99138,0.49498,0.29139,0.96592,2.99262,0.97528,0.000224138,0.000224138,0.000224138
4,98.4036,1.21702,2.44417,1.14376,0.54634,0.53979,0.65142,0.43121,1.02896,2.25075,0.91691,0.000297916,0.000297916,0.000297916
5,117.057,1.15712,1.96342,1.04609,0.77771,0.82509,0.86082,0.58174,1.0939,1.803,0.94501,0.000368394,0.000368394,0.000368394
6,135.643,1.14399,1.56416,1.03724,0.91331,0.89156,0.94978,0.63803,1.10277,1.71565,0.9609,0.00043557,0.00043557,0.00043557
7,155.223,1.08603,1.26103,1.02183,1,0.97554,0.995,0.68139,1.03484,1.47763,0.91867,0.000499447,0.000499447,0.000499447
8,172.094,1.08744,1.06786,1.04807,1,0.99118,0.995,0.67681,1.07728,1.32591,0.94548,0.000560022,0.000560022,0.000560022
9,188.868,1.08574,1.05064,1.07334,0.9899,1,0.995,0.67605,1.07,1.15865,0.96075,0.000617297,0.000617297,0.000617297
10,205.804,1.05525,0.97332,1.02618,0.97702,0.96847,0.99112,0.6712,1.03094,0.80992,0.99442,0.000671271,0.000671271,0.000671271
11,222.64,1.06802,0.92471,1.05946,0.91096,0.98285,0.97907,0.64936,0.95562,0.79429,0.96668,0.000721944,0.000721944,0.000721944
12,240.536,1.04667,0.9205,1.0379,0.8217,0.98259,0.96913,0.62587,0.94267,0.80838,0.94554,0.000769317,0.000769317,0.000769317
13,257.536,1.07854,0.91989,1.05517,0.93791,0.99693,0.995,0.67059,0.93265,0.74053,0.94317,0.000813389,0.000813389,0.000813389
14,275.088,1.05461,0.8503,1.02798,0.93791,0.99693,0.995,0.67059,0.93265,0.74053,0.94317,0.000854161,0.000854161,0.000854161
15,292.135,1.04819,0.81591,1.0256,0.97725,1,0.995,0.7045,0.93733,0.7036,0.95877,0.000891632,0.000891632,0.000891632
16,309.259,1.04114,0.84529,1.03766,0.97677,1,0.995,0.71164,0.93376,0.66891,0.99033,0.000925802,0.000925802,0.000925802
17,326.538,1.08299,0.80673,1.0046,0.96846,0.98077,0.99114,0.71925,0.91608,0.70448,0.98233,0.000956671,0.000956671,0.000956671
18,343.507,1.03977,0.78401,0.99641,0.96846,0.98077,0.99114,0.71925,0.91608,0.70448,0.98233,0.00098424,0.00098424,0.00098424
19,361.622,1.05681,0.80366,1.00029,0.94615,1,0.99024,0.72689,0.89209,0.75024,0.97675,0.00100851,0.00100851,0.00100851
20,378.471,1.02153,0.80635,1.01488,0.98468,1,0.995,0.71015,0.91384,0.74779,1.00779,0.00102948,0.00102948,0.00102948
21,395.543,1.03973,0.80847,1.00371,0.98468,1,0.995,0.71015,0.91384,0.74779,1.00779,0.00100687,0.00100687,0.00100687
22,412.362,1.03464,0.7737,1.03185,0.99037,1,0.995,0.69865,0.90902,0.70378,1.01653,0.000973861,0.000973861,0.000973861
23,429.247,0.9583,0.70849,0.96556,0.99423,1,0.995,0.70808,0.89963,0.68377,0.99644,0.000940855,0.000940855,0.000940855
24,445.976,0.98712,0.72857,0.9976,0.99423,1,0.995,0.70808,0.89963,0.68377,0.99644,0.000907848,0.000907848,0.000907848
25,463.82,0.96586,0.7502,0.99699,0.99622,1,0.995,0.71505,0.89871,0.67994,0.99649,0.000874842,0.000874842,0.000874842
26,480.918,0.99369,0.73917,0.9997,0.99622,1,0.995,0.71505,0.89871,0.67994,0.99649,0.000841835,0.000841835,0.000841835
27,497.683,0.9813,0.72658,0.98012,0.99591,1,0.995,0.70912,0.90944,0.64191,1.00948,0.000808828,0.000808828,0.000808828
28,514.681,1.01513,0.75308,1.04925,0.99563,1,0.995,0.72675,0.88856,0.62528,0.99657,0.000775822,0.000775822,0.000775822
29,531.49,0.98456,0.70747,1.01901,0.99563,1,0.995,0.72675,0.88856,0.62528,0.99657,0.000742815,0.000742815,0.000742815
30,548.55,0.99156,0.69487,0.99556,0.99455,1,0.995,0.72407,0.87789,0.63388,0.97853,0.000709809,0.000709809,0.000709809
31,565.267,0.99151,0.7389,1.01772,0.98736,1,0.995,0.71935,0.88445,0.64784,0.97622,0.000676802,0.000676802,0.000676802
32,582.189,0.99346,0.69248,0.95816,0.98736,1,0.995,0.71935,0.88445,0.64784,0.97622,0.000643795,0.000643795,0.000643795
33,601.268,0.99748,0.70395,1.00925,0.9938,1,0.995,0.72211,0.88313,0.6421,0.97683,0.000610789,0.000610789,0.000610789
34,618.072,0.95623,0.71442,0.99138,0.9938,1,0.995,0.72211,0.88313,0.6421,0.97683,0.000577782,0.000577782,0.000577782
35,635.158,0.95055,0.69124,0.98329,0.99421,1,0.995,0.73251,0.86796,0.61418,0.96809,0.000544776,0.000544776,0.000544776
36,652.292,0.96181,0.67706,0.96036,0.99646,1,0.995,0.73831,0.86509,0.60519,0.96611,0.000511769,0.000511769,0.000511769
37,669.243,1.02978,0.6685,0.99734,0.99646,1,0.995,0.73831,0.86509,0.60519,0.96611,0.000478762,0.000478762,0.000478762
38,685.935,1.01712,0.77626,1.02484,0.99672,1,0.995,0.74733,0.84667,0.5853,0.95215,0.000445756,0.000445756,0.000445756
39,703,0.99498,0.67012,0.97962,0.99653,1,0.995,0.752,0.83887,0.57943,0.94726,0.000412749,0.000412749,0.000412749
40,719.797,0.96197,0.69133,0.99988,0.99653,1,0.995,0.752,0.83887,0.57943,0.94726,0.000379743,0.000379743,0.000379743
41,736.097,0.95461,0.75475,0.97362,0.99681,1,0.995,0.7525,0.84085,0.57685,0.95004,0.000346736,0.000346736,0.000346736
42,752.439,0.91483,0.72226,0.97387,0.99681,1,0.995,0.7525,0.84085,0.57685,0.95004,0.000313729,0.000313729,0.000313729
43,768.826,0.93772,0.73395,0.98035,0.99696,1,0.995,0.74751,0.85209,0.58233,0.95674,0.000280723,0.000280723,0.000280723
44,785.009,0.92899,0.73124,0.99976,0.996,1,0.995,0.74594,0.85625,0.59708,0.96193,0.000247716,0.000247716,0.000247716
45,801.231,0.94392,0.76637,1.01772,0.996,1,0.995,0.74594,0.85625,0.59708,0.96193,0.00021471,0.00021471,0.00021471
46,817.546,0.9391,0.68478,0.97426,0.99516,1,0.995,0.7384,0.8564,0.61162,0.96442,0.000181703,0.000181703,0.000181703
47,834.068,0.91426,0.72552,0.98507,0.99512,1,0.995,0.74346,0.85818,0.62792,0.96779,0.000148696,0.000148696,0.000148696
48,851.373,0.90894,0.70033,0.96931,0.99512,1,0.995,0.74346,0.85818,0.62792,0.96779,0.00011569,0.00011569,0.00011569
49,868.216,0.9289,0.69898,0.98094,0.99525,1,0.995,0.74231,0.85978,0.63382,0.96911,8.26832e-05,8.26832e-05,8.26832e-05
50,885.435,0.89638,0.71713,0.97308,0.99525,1,0.995,0.74231,0.85978,0.63382,0.96911,4.96766e-05,4.96766e-05,4.96766e-05
